pant,isPartial,keyword,region_code,region_name,date,dress
,False,dress,HK,HK,2025-11-06,67.0
,False,dress,HK,HK,2025-11-07,72.0
,False,dress,HK,HK,2025-11-08,78.0
,False,dress,HK,HK,2025-11-09,56.0
,False,dress,HK,HK,2025-11-10,69.0
,False,dress,HK,HK,2025-11-11,79.0
,False,dress,HK,HK,2025-11-12,56.0
,False,dress,HK,HK,2025-11-13,59.0
,False,dress,HK,HK,2025-11-14,66.0
,False,dress,HK,HK,2025-11-15,69.0
,False,dress,HK,HK,2025-11-16,88.0
,False,dress,HK,HK,2025-11-17,74.0
,False,dress,HK,HK,2025-11-18,67.0
,False,dress,HK,HK,2025-11-19,57.0
,False,dress,HK,HK,2025-11-20,87.0
,False,dress,HK,HK,2025-11-21,63.0
,False,dress,HK,HK,2025-11-22,81.0
,False,dress,HK,HK,2025-11-23,81.0
,False,dress,HK,HK,2025-11-24,86.0
,False,dress,HK,HK,2025-11-25,72.0
,False,dress,HK,HK,2025-11-26,47.0
,False,dress,HK,HK,2025-11-27,53.0
,False,dress,HK,HK,2025-11-28,76.0
,False,dress,HK,HK,2025-11-29,56.0
,False,dress,HK,HK,2025-11-30,75.0
,False,dress,HK,HK,2025-12-01,67.0
,False,dress,HK,HK,2025-12-02,59.0
,False,dress,HK,HK,2025-12-03,63.0
,False,dress,HK,HK,2025-12-04,69.0
,False,dress,HK,HK,2025-12-05,58.0
,False,dress,HK,HK,2025-12-06,56.0
,False,dress,HK,HK,2025-12-07,67.0
,False,dress,HK,HK,2025-12-08,84.0
,False,dress,HK,HK,2025-12-09,48.0
,False,dress,HK,HK,2025-12-10,68.0
,False,dress,HK,HK,2025-12-11,69.0
,False,dress,HK,HK,2025-12-12,66.0
,False,dress,HK,HK,2025-12-13,76.0
,False,dress,HK,HK,2025-12-14,76.0
,False,dress,HK,HK,2025-12-15,72.0
,False,dress,HK,HK,2025-12-16,57.0
,False,dress,HK,HK,2025-12-17,59.0
,False,dress,HK,HK,2025-12-18,78.0
,False,dress,HK,HK,2025-12-19,57.0
,False,dress,HK,HK,2025-12-20,84.0
,False,dress,HK,HK,2025-12-21,54.0
,False,dress,HK,HK,2025-12-22,71.0
,False,dress,HK,HK,2025-12-23,51.0
,False,dress,HK,HK,2025-12-24,62.0
,False,dress,HK,HK,2025-12-25,73.0
,False,dress,HK,HK,2025-12-26,64.0
,False,dress,HK,HK,2025-12-27,71.0
,False,dress,HK,HK,2025-12-28,74.0
,False,dress,HK,HK,2025-12-29,57.0
,False,dress,HK,HK,2025-12-30,65.0
,False,dress,HK,HK,2025-12-31,59.0
,False,dress,HK,HK,2026-01-01,57.0
,False,dress,HK,HK,2026-01-02,57.0
,False,dress,HK,HK,2026-01-03,63.0
,False,dress,HK,HK,2026-01-04,60.0
,False,dress,HK,HK,2026-01-05,56.0
,False,dress,HK,HK,2026-01-06,56.0
,False,dress,HK,HK,2026-01-07,59.0
,False,dress,HK,HK,2026-01-08,62.0
,False,dress,HK,HK,2026-01-09,57.0
,True,dress,HK,HK,2026-01-10,75.0
